App,Participant,Mode,Condition,Session,Block,Keystrokes,Characters,Time_(s),MSD,Speed_(wpm),Error_rate_(%),KSPC
GraffitiExperiment,P06,GRAFFITI,C02,S00,B01,26,26,30.469000,7,10.239916,26.923077,1.000000
GraffitiExperiment,P06,GRAFFITI,C02,S00,B01,27,26,28.024000,8,11.133314,30.769231,1.038462
GraffitiExperiment,P06,GRAFFITI,C02,S00,B01,26,26,29.460000,8,10.590631,30.769231,1.000000
GraffitiExperiment,P06,GRAFFITI,C02,S00,B01,29,25,30.790000,15,9.743423,57.692308,1.160000
GraffitiExperiment,P06,GRAFFITI,C02,S00,B01,29,26,31.235000,7,9.988795,26.923077,1.115385
GraffitiExperiment,P06,GRAFFITI,C02,S00,B01,31,26,30.096000,6,10.366826,23.076923,1.192308
GraffitiExperiment,P06,GRAFFITI,C02,S00,B01,29,26,29.489000,6,10.580216,23.076923,1.115385
GraffitiExperiment,P06,GRAFFITI,C02,S00,B01,27,26,29.813000,7,10.465233,26.923077,1.038462
GraffitiExperiment,P06,GRAFFITI,C02,S00,B01,33,26,32.373000,7,9.637661,26.923077,1.269231
GraffitiExperiment,P06,GRAFFITI,C02,S00,B01,27,26,29.312000,6,10.644105,23.076923,1.038462
